ticker,date,open,high,low,close,adj close,volume
GOOG,2021-04-07,2226.13,2255.0,2226.46,2249.68,2249.68,1099009
GOOG,2021-04-06,2222.5,2237.51,2214.92,2224.75,2224.75,1263329
GOOG,2021-04-05,2152.94,2237.31,2151.62,2225.55,2225.55,2099235
GOOG,2021-04-01,2097.95,2142.94,2096.89,2137.75,2137.75,1619688
GOOG,2021-03-31,2059.12,2093.33,2056.75,2068.63,2068.63,1351047
GOOG,2021-03-30,2057.63,2070.78,2044.03,2055.54,2055.54,1036600
GOOG,2021-03-29,2027.88,2058.43,2015.62,2055.95,2055.95,1110485
GOOG,2021-03-26,2038.86,2050.99,2014.02,2035.55,2035.55,1412930
GOOG,2021-03-25,2044.81,2058.71,2010.73,2044.36,2044.36,1394194
GOOG,2021-03-24,2065.37,2078.21,2041.56,2045.06,2045.06,1126778
GOOG,2021-03-23,2051.7,2067.59,2039.35,2066.59,2052.96,372997
GOOG,2021-03-22,2041.84,2057.99,2026.07,2038.59,2038.59,1832200
GOOG,2021-03-19,2042.05,2053.0,2017.68,2043.2,2043.2,2311278
GOOG,2021-03-18,2061.0,2075.5,2033.55,2036.22,2036.22,1360356
GOOG,2021-03-17,2076.03,2109.78,2054.12,2091.08,2091.08,1297601
GOOG,2021-03-16,2078.99,2123.56,2070.28,2092.52,2092.52,1490591
GOOG,2021-03-15,2062.3,2067.06,2043.81,2066.49,2066.49,1297492
GOOG,2021-03-12,2085.0,2090.0,2048.0,2061.92,2061.92,1658179
GOOG,2021-03-11,2074.06,2125.48,2072.38,2114.77,2114.77,1208604
GOOG,2021-03-10,2071.76,2073.7,2033.37,2055.03,2055.03,1237619
GOOG,2021-03-09,2070.0,2078.04,2048.04,2052.7,2052.7,1606638
GOOG,2021-03-08,2101.13,2128.8,2021.61,2024.17,2024.17,1605195
GOOG,2021-03-05,2073.12,2118.11,2046.42,2108.54,2108.54,2152733
GOOG,2021-03-04,2023.37,2089.24,2020.27,2049.09,2049.09,2085128
GOOG,2021-03-03,2067.21,2088.52,2010.0,2026.71,2026.71,1403150
GOOG,2021-03-02,2076.19,2104.37,2071.26,2075.84,2075.84,999607
GOOG,2021-03-01,2056.52,2086.52,2046.1,2081.51,2081.51,1382983
GOOG,2021-02-26,2050.52,2071.01,2018.0,2036.86,2036.86,1811803
GOOG,2021-02-25,2067.45,2094.88,2021.29,2031.36,2031.36,1713513
GOOG,2021-02-24,2041.83,2100.78,2038.13,2095.17,2095.17,1185327
GOOG,2021-02-23,2025.01,2082.01,2002.02,2070.86,2070.86,1621538
GOOG,2021-02-22,2067.0,2091.42,2062.14,2064.88,2064.88,1311581
GOOG,2021-02-19,2119.27,2130.42,2097.44,2101.14,2101.14,1382139
GOOG,2021-02-18,2110.39,2132.74,2104.28,2117.2,2117.2,1035377
GOOG,2021-02-17,2100.0,2133.66,2098.92,2128.31,2128.31,976312
GOOG,2021-02-16,2104.36,2152.68,2104.36,2121.9,2121.9,1081284
GOOG,2021-02-12,2090.25,2108.82,2083.13,2104.11,2104.11,827959
GOOG,2021-02-11,2099.51,2102.03,2077.32,2095.89,2095.89,945700
GOOG,2021-02-10,2094.21,2108.37,2063.09,2095.38,2095.38,1053855
GOOG,2021-02-09,2078.54,2104.95,2078.54,2083.51,2083.51,859016
GOOG,2021-02-08,2105.91,2123.55,2072.0,2092.91,2092.91,1197411
GOOG,2021-02-05,2070.0,2102.41,2059.33,2098.0,2098.0,1317807
GOOG,2021-02-04,2068.89,2078.55,2042.92,2062.37,2062.37,1835135
GOOG,2021-02-03,2073.0,2116.31,2019.61,2070.07,2070.07,4085185
GOOG,2021-02-02,1922.56,1955.76,1914.49,1927.51,1927.51,1833507
GOOG,2021-02-01,1853.57,1922.39,1850.93,1901.35,1901.35,1567446
GOOG,2021-01-29,1846.17,1857.0,1810.2,1835.74,1835.74,1504820
GOOG,2021-01-28,1843.94,1898.83,1842.64,1863.11,1863.11,1664661
GOOG,2021-01-27,1882.53,1890.0,1809.0,1830.79,1830.79,2699821
GOOG,2021-01-26,1888.84,1925.0,1884.24,1917.24,1917.24,1265839
GOOG,2021-01-25,1920.67,1929.58,1867.53,1899.4,1899.4,1900968
GOOG,2021-01-22,1895.68,1910.75,1882.2,1901.05,1901.05,1243803
GOOG,2021-01-21,1898.0,1934.85,1887.4,1891.25,1891.25,2018231
